Symbol,Name,Price,Exchange
"INBK","First Internet Bancorp",16.27,"Nasdaq Global Select"
"IYK","iShares U.S. Consumer Goods",149.71,"NYSE Arca"
"KALV","Kalvista Pharmaceuticals Inc",13.05,"NASDAQ Global Market"
"KED","Kayne Anderson Energy Development Company",18.4,"New York Stock Exchange"
"KONA","Kona Grill Inc.",0.14,"NASDAQ Global Market"
"LIND","Lindblad Expeditions Holdings Inc",11.64,"NASDAQ Capital Market"
"LVHI","Legg Mason International Low Volatility High Dividend",22.0503,"BATS Exchange"
"MCRB","Seres Therapeutics Inc",23.92,"Nasdaq Global Select"
"MMT","MFS Multimarket Income Trust",5.98,"New York Stock Exchange"
"MMU","Western Asset Managed Municipals Fund Inc",12.2,"New York Stock Exchange"
"NTWK","NetSol Technologies Inc",2.89,"NASDAQ Capital Market"
"NUDM","NuShares ESG International Developed Markets Equity",25.66,"BATS Exchange"
"PANL","Pangaea Logistics Solutions Ltd",2.27,"NASDAQ Capital Market"
"PNQI","PowerShares Nasdaq Internet Portfolio",205.84,"NASDAQ Global Market"
"PPA","PowerShares Aerospace & Defense Portfolio",58.05,"NYSE Arca"
"PXH","PowerShares FTSE RAFI Emerging Markets Portfolio",18.27,"NYSE Arca"
"RCS","PIMCO Strategic Income Fund, Inc",6.39,"New York Stock Exchange"
"REPH","Recro Pharma Inc",2.06,"NASDAQ Capital Market"
"RFDI","First Trust RiverFront Dynamic Developed International ETF",56.6741,"NASDAQ Global Market"
"SVVC","Firsthand Technology Value Fund Inc",4.37,"Nasdaq Global Select"
"SZC","Cushing Nextgen Infrastructure Income Fund",30.35,"New York Stock Exchange"
"TYHT","Shineco Inc",2.45,"NASDAQ Capital Market"
"URE","ProShares Ultra Real Estate",57.87,"NYSE Arca"
"VGM","Invesco Trust for Investment Grade Municipals",12.51,"New York Stock Exchange"
"VIXM","ProShares Trust VIX Mid-Term Futures",40.68,"NYSE Arca"
"ZSL","ProShares UltraShort Silver",7.68,"NYSE Arca"
"DRV","Drexion Daily Real Estate Bear 3x Shares",13.54,"NYSE Arca"
"DSU","BlackRock Debt Strategies Fund Inc",10.06,"New York Stock Exchange"
"MRAM","Everspin Technologies Inc",5.23,"NASDAQ Global Market"
"VOE","Vanguard Mid-Cap Value",104.14,"NYSE Arca"
"KALA","Kala Pharmaceuticals Inc",7.96,"Nasdaq Global Select"
"WDFC","WD-40 Co",193.79,"Nasdaq Global Select"
"CNIT","China Information Technology Inc.",1.78,"NASDAQ Capital Market"
"BCBP","BCB Bancorp Inc",8.15,"NASDAQ Global Market"
"TNAV","Telenav Inc",4.34,"Nasdaq Global Select"
"EMQQ","Emerging Markets Internet and Ecommerce ETF (The)",53.25,"NYSE Arca"
"IQI","Invesco Quality Municipal Income Trust",12.36,"New York Stock Exchange"
"SPYD","SPDR Series Trust Portfolio S&P 500 High Dividend",28.99,"NYSE Arca"
"DAVE","Famous Dave's of America Inc.",3.75,"Nasdaq Global Select"
"GARS","Garrison Capital Inc",3.47,"Nasdaq Global Select"
"SRTY","ProShares UltraPro Short Russell2000",8.44,"NYSE Arca"
"QINC","First Trust RBA Quality Income ETF",25.35,"NASDAQ Global Market"
"NP","Neenah Inc",44.62,"New York Stock Exchange"
"PSTI","Pluristem Therapeutics Inc",9.88,"NASDAQ Capital Market"
"BHB","Bar Harbor Bankshares",21.09,"NYSE American"
"FVE","Five Star Senior Living Inc",5.33,"NASDAQ Capital Market"
"WTM","White Mountains Insurance Group Ltd",885.19,"New York Stock Exchange"
"LILA","Liberty Latin America Ltd",9.95,"Nasdaq Global Select"
"IPE","SPDR Bloomberg Barclays TIPS",57.12,"NYSE Arca"
"DELT","Delta Technology Holdings Limited",0.92,"NASDAQ Capital Market"
"EELV","PowerShares S&P Emerging Markets Low Volatility Portfolio",20.37,"NYSE Arca"
"IBIO","Ibio Inc",1.93,"NYSE American"
"IEP","Icahn Enterprises LP",49.4,"Nasdaq Global Select"
"MJ","ETFMG Alternative Harvest",12.11,"NYSE Arca"
"VOT","Vanguard Mid-Cap Growth",177.55,"NYSE Arca"
"CURE","Direxion Daily Healthcare Bull 3X Shares",62.93,"NYSE Arca"
"LMNR","Limoneira Co",14.41,"Nasdaq Global Select"
"VNRX","VolitionRX Ltd",3.22,"NYSE American"
"AGLE","Aeglea Bio Therapeutics Inc",7.3,"NASDAQ Global Market"
"RYTM","Rhythm Pharmaceuticals Inc",29.88,"NASDAQ Global Market"
"CELH","Celsius Holdings Inc",18.92,"NASDAQ Capital Market"
"WEYS","WEYCO Group Inc",17.72,"Nasdaq Global Select"
"QEFA","SPDR MSCI EAFE StrategicFactors",62.46,"NYSE Arca"
"SBOW","SilverBow Resources Inc",4.45,"New York Stock Exchange"
"CHMI","Cherry Hill Mortgage Investment Corp",9.48,"New York Stock Exchange"
"CERC","Cerecor Inc",2.23,"NASDAQ Capital Market"
"MOTI","VanEck Vectors Morningstar International Moat",29.63,"NYSE Arca"
"SCIF","VanEck Vectors India Small-Cap Index",22.38,"NYSE Arca"
"DMF","Bny Mellon Municipal Income Inc",8.41,"NYSE American"
"RDIV","Oppenheimer Ultra Dividend Revenue",29.09,"NYSE Arca"
"ALOT","AstroNova Inc",6.93,"NASDAQ Global Market"
"AFB","Alliancebernstein National Municipal Income Fund Inc",13.49,"New York Stock Exchange"
"PDBC","PowerShares Optimum Yield Diversified Commodity Strategy No K-1 Portfolio",13.83,"NASDAQ Global Market"
"CBMG","Cellular Biomedicine Group Inc",18.5,"NASDAQ Global Market"
"ENY","Guggenheim Canadian Energy Income",6.98,"NYSE Arca"
"GOF","Guggenheim Strategic Opportunities Fund",17.86,"New York Stock Exchange"
"PSDV","pSivida Corp.",1.25,"NASDAQ Global Market"
"RBB","RBB Bancorp",12.96,"Nasdaq Global Select"
"DFJ","WisdomTree Japan SmallCap Fund",66.8423,"NYSE Arca"
"STKS","One Group Hospitality Inc",1.89,"NASDAQ Capital Market"
"VOXX","VOXX International Corp",5.96,"Nasdaq Global Select"
"ESGR","Enstar Group Ltd",174.04,"Nasdaq Global Select"
"JFR","Nuveen Floating Rate Income Fund",8.34,"New York Stock Exchange"
"RIOT","Riot Blockchain Inc",3.11,"NASDAQ Capital Market"
"SORL","SORL Auto Parts Inc.",4.72,"NASDAQ Global Market"
"AOK","iShares Core Conservative Allocation",37.43,"NYSE Arca"
"ASND","Ascendis Pharma A/S",140.34,"Nasdaq Global Select"
"BSM","Black Stone Minerals LP",6.56,"New York Stock Exchange"
"BTAI","BioXcel Therapeutics Inc",41.05,"NASDAQ Capital Market"
"CBK","Christopher & Banks Corporation",0.35,"New York Stock Exchange"
"CRMT","America's CAR-MART Inc",100.74,"Nasdaq Global Select"
"CVCY","Central Valley Community Bancorp",12.14,"NASDAQ Capital Market"
"CVY","Guggenheim Multi-Asset Income",17.35,"NYSE Arca"
"CWCO","Consolidated Water Co Ltd",11.55,"Nasdaq Global Select"
"DBGR","Xtrackers MSCI Germany Hedged Equity",27.8289,"NYSE Arca"
"DGRE","WisdomTree Emerging Markets Quality Dividend Growth Fund",24.685,"NASDAQ Global Market"
"EHTH","eHealth Inc",63.9,"Nasdaq Global Select"
"EOCC","Enel Generacion Chile S.A. American Depositary Shares (Each representing 30 shares of)",16.83,"New York Stock Exchange"
"ESNC","EnSync Inc",0.1,"NYSE American"
"FEU","SPDR DJ STOXX 50 Etf",32.66,"NYSE Arca"
"FREL","Fidelity MSCI Real Estate Index",24.4,"NYSE Arca"
"GLL","ProShares UltraShort Gold",30.72,"NYSE Arca"
"GROW","U.S. Global Investors Inc",3.39,"NASDAQ Capital Market"
"IBMH","iShares iBonds Sep 2019 Term Muni Bond",25.43,"NYSE Arca"
"IJT","iShares S&P Small-Cap 600 Growth ETF",181.37,"NASDAQ Global Market"
"IPAY","ETFMG Prime Mobile Payments",54.28,"NYSE Arca"
"IQDF","FlexShares International Quality Dividend Index Fund",21.3,"NYSE Arca"
"IRL","New Ireland Fund Inc",8.48,"New York Stock Exchange"
"JCAP","Jernigan Capital Inc",17.26,"New York Stock Exchange"
"JTA","Nuveen Tax-Advantaged Total Return Strategy Fund",8.48,"New York Stock Exchange"
"KF","Korea Fund Inc",29.2937,"New York Stock Exchange"
"KINS","Kingstone Companies Inc",5.96,"NASDAQ Capital Market"
"KTF","DWS Municipal Income Trust",11.2,"New York Stock Exchange"
"MPX","Marine Products Corp",14.59,"New York Stock Exchange"
"MRLN","Marlin Business Services Corp",7.03,"Nasdaq Global Select"
"MVC","MVC Capital Inc",8.01,"New York Stock Exchange"
"NAC","Nuveen California Quality Municipal Income Fund",14.5,"New York Stock Exchange"
"NBW","Neuberger Berman California Municipal Fund Inc",13.01,"NYSE American"
"NETE","Net Element Inc",6.34,"NASDAQ Capital Market"
"NETS","Netshoes (Cayman) Limited",3.18,"New York Stock Exchange"
"NVLN","Novelion Therapeutics Inc.",0.68,"Nasdaq Global Select"
"ORAN","Orange",10.91,"New York Stock Exchange"
"PCYG","Park City Group Inc",4.74,"NASDAQ Capital Market"
"PDT","John Hancock Premium Dividend Fund",13.02,"New York Stock Exchange"
"PML","PIMCO Municipal Income Fund II",13.34,"New York Stock Exchange"
"PSP","PowerShares Listed Private Equity",11.12,"NYSE Arca"
"QIWI","Qiwi PLC",16.16,"Nasdaq Global Select"
"RFTA","RAIT Financial Trust 7.125% Senior Notes due 2019",21.12,"New York Stock Exchange"
"RMT","Royce Micro-Cap Trust Inc",7.92,"New York Stock Exchange"
"SJB","ProShares Short High Yield",19.82,"NYSE Arca"
"SPYB","SPDR S&P 500 Buyback",58.9059,"NYSE Arca"
"TCHF","iShares Edge MSCI Multifactor Technology",42.71,"BATS Exchange"
"UFAB","Unique Fabricating Inc",3.1254,"NYSE American"
"USAK","USA Truck Inc",11.86,"Nasdaq Global Select"
"UTSI","UTStarcom Holdings Corp",1.4,"Nasdaq Global Select"
"VERI","Veritone Inc",7.66,"NASDAQ Global Market"
"VXF","Vanguard Extended Market",129.75,"NYSE Arca"
"WHG","Westwood Holdings Group Inc",11.23,"New York Stock Exchange"
"PGZ","Principal Real Estate Income Fund",11.51,"New York Stock Exchange"
"SCHZ","Schwab US Aggregate Bond",56.18,"NYSE Arca"
"CDC","VictoryShares US EQ Income Enhanced Volatility Wtd ETF",48.6311,"NASDAQ Global Market"
"FENC","Fennec Pharmaceuticals Inc",5.19,"NASDAQ Capital Market"
"FARM","Farmer Bros Co",6.46,"Nasdaq Global Select"
"JXI","iShares Global Utilities",56.02,"NYSE Arca"
"CTBB","Qwest Corporation 6.5% Notes due 2056",25.09,"New York Stock Exchange"
"VGIT","Vanguard Intermediate-Term Treasury ETF",70.36,"NASDAQ Global Market"
"CYB","WisdomTree Chinese Yuan Strategy Fund",25.9,"NYSE Arca"
"ANIK","Anika Therapeutics Inc",37.3,"Nasdaq Global Select"
"SVRA","Savara Inc",1.25,"Nasdaq Global Select"
"TG","Tredegar Corp",17.5,"New York Stock Exchange"
"XPLR","Xplore Technologies Corp",6,"NASDAQ Capital Market"
"LDRS","Innovator IBD ETF Leaders",24.1,"NYSE Arca"
"QQEW","First Trust NASDAQ-100 Equal Weighted Index Fund",86.59,"NASDAQ Global Market"
"VGSH","Vanguard Short-Term Treasury ETF",62.07,"NASDAQ Global Market"
"EXI","iShares Global Industrials",93.57,"NYSE Arca"
"BUSE","First Busey Corp",18.12,"Nasdaq Global Select"
"HONE","HarborOne Bancorp Inc",8.95,"Nasdaq Global Select"
"IAF","Aberdeen Australia Equity Fund Inc",4.63,"NYSE American"
"HDMV","First Trust Exchange-Traded Fund III Horizon Managed Volatility Developed International",28.96,"NYSE Arca"
"IDLV","PowerShares S&P International Developed Low Volatility Portfolio",28.57,"NYSE Arca"
"TOTL","SPDR DoubleLine Total Return Tactical",49.46,"NYSE Arca"
"UHT","Universal Health Realty Income Trust",68.51,"New York Stock Exchange"
"IESC","IES Holdings Inc",29.02,"NASDAQ Global Market"
"LITB","LightInTheBox Holding Co Ltd",2.1,"New York Stock Exchange"
"RNET","RigNet Inc",4.87,"Nasdaq Global Select"
"SCHP","Schwab U.S. TIPs",61.49,"NYSE Arca"
"SMBC","Southern Missouri Bancorp Inc",24.4,"NASDAQ Global Market"
"VCTR","Victory Capital Holdings Inc",17.89,"Nasdaq Global Select"
"ZTR","Virtus Total Return Fund Inc",7.98,"New York Stock Exchange"
"JHMM","John Hancock Multifactor Mid Cap",37.9,"NYSE Arca"
"VTEB","Vanguard Tax-Exempt Bond",54.44,"NYSE Arca"
"JPIN","JPMorgan Diversified Return International Equity",52.39,"NYSE Arca"
"UBIO","Proshares UltraPro Nasdaq Biotechnology",17.7652,"NASDAQ Global Market"
"MSFG","MainSource Financial Group Inc.",40.65,"Nasdaq Global Select"
"LMFA","LM Funding America Inc",0.6229,"NASDAQ Capital Market"
"IJS","iShares S&P SmallCap 600 Value",130.1,"NYSE Arca"
"KAI","Kadant Inc",115.13,"New York Stock Exchange"
"PRQR","ProQR Therapeutics NV",5,"NASDAQ Global Market"
"UBA","Urstadt Biddle Properties Inc",9.79,"New York Stock Exchange"
"BREW","Craft Brew Alliance Inc",15.66,"Nasdaq Global Select"
"PERY","Perry Ellis International Inc.",27.5,"Nasdaq Global Select"
"ORM","Owens Realty Mortgage Inc.",21.12,"NYSE American"
"FCBC","First Community Bankshares Inc",19.33,"Nasdaq Global Select"
"VDC","Vanguard Consumer Staples",166.99,"NYSE Arca"
"MHO","M/I Homes Inc",41.59,"New York Stock Exchange"
"UTMD","Utah Medical Products Inc",83.7,"Nasdaq Global Select"
"PCOM","Points International Ltd",10.69,"NASDAQ Capital Market"
"HDG","ProShares Hedge Replication",46.0018,"NYSE Arca"
"FEMS","First Trust Emerging Markets Small Cap AlphaDEX Fund",34.835,"NASDAQ Global Market"
"SPTM","SPDR Portfolio Total Stock Market",41.83,"NYSE Arca"
"VCR","Vanguard Consumer Discretion",238.68,"NYSE Arca"
"ATNI","ATN International Inc",56.61,"Nasdaq Global Select"
"FNDA","Schwab Fundamental U.S. Small Company Index",34.61,"NYSE Arca"
"GMF","SPDR S&P Emerging Asia Pacific",111.66,"NYSE Arca"
"INF","Brookfield Global Listed Infrastructure Income Fund Closed End Fund",12.81,"New York Stock Exchange"
"MDYG","SPDR S&P 400 Mid Cap Growth ETF (based on S&P MidCap 400 Growth Index--symbol: MUV)",57.31,"NYSE Arca"
"SCM","Stellus Capital Investment Corp",8.4,"New York Stock Exchange"
"AGC","Advent Claymore Convertible Securities and Income Fund of Beneficial Interest",5.69,"New York Stock Exchange"
"AIRG","Airgain Inc",13.52,"NASDAQ Capital Market"
"BBC","Virtus LifeSci Biotech Clinical Trials",37.56,"NYSE Arca"
"BFOR","Barron's 400",42.4428,"NYSE Arca"
"BGH","Barings Global Short Duration High Yield Fund",13.4,"New York Stock Exchange"
"BGR","Blackrock Energy and Resources Trust",6.74,"New York Stock Exchange"
"BGX","Blackstone/GSO Long-Short Credit Income Fund",12.63,"New York Stock Exchange"
"BOND","PIMCO Active Bond Exchange-Traded Fund Exchange-Traded Fund",112.41,"NYSE Arca"
"BOSC","BOS Better Online Solutions Ltd",2.46,"NASDAQ Capital Market"
"BSJM","Guggenheim BulletShares 2022 High Yield Corporate Bond",22.96,"NYSE Arca"
"BUI","Blackrock Utilities Infrastructure & Power Opportunities Trust",22.05,"New York Stock Exchange"
"BWINB","Baldwin & Lyons Inc. Class B (nonvoting) Common Stock",23.35,"NASDAQ Global Market"
"CATB","Catabasis Pharmaceuticals Inc",5.96,"NASDAQ Global Market"
"CDLX","Cardlytics Inc",70.09,"NASDAQ Global Market"
"CEE","Central and Eastern Europe Fund Inc",20.46,"New York Stock Exchange"
"CHFN","Charter Financial Corp.",24.89,"NASDAQ Capital Market"
"CNTY","Century Casinos Inc",6.84,"NASDAQ Capital Market"
"DAIO","Data I/O Corp",3.33,"NASDAQ Capital Market"
"DES","WisdomTree U.S. SmallCap Dividend Fund",22.31,"NYSE Arca"
"EDGW","Edgewater Technology Inc.",4.71,"NASDAQ Global Market"
"EDIV","SPDR S&P Emerging Markets Dividend",24.96,"NYSE Arca"
"EFF","Eaton Vance Floating-Rate Income Plus Fund",14.39,"New York Stock Exchange"
"EFU","ProShares UltraShort MSCI EAFE",17.46,"NYSE Arca"
"EGPT","VanEck Vectors Egypt Index",25.12,"NYSE Arca"
"EOLS","Evolus Inc",3.87,"NASDAQ Global Market"
"ERC","Wells Fargo Multi-Sector Income Fund",11.33,"NYSE American"
"ETB","Eaton Vance Tax-Managed Buy-Write Income Fund",13.69,"New York Stock Exchange"
"FIV","First Trust Senior Floating Rate 2022 Target Term Fund",8.62,"New York Stock Exchange"
"FRSH","Papa Murphy's Holdings Inc.",6.45,"Nasdaq Global Select"
"GECC","Great Elm Capital Corp",4.2,"NASDAQ Global Market"
"HEAR","Turtle Beach Corp",17.48,"NASDAQ Global Market"
"HYI","Western Asset High Yield Defined Opportunity Fund Inc",14.42,"New York Stock Exchange"
"IHDG","WisdomTree International Hedged Quality Dividend Growth Fund",35.94,"NYSE Arca"
"IHI","iShares U.S. Medical Devices",293.37,"NYSE Arca"
"IOR","Income Opportunity Realty Investors Inc",11.9441,"NYSE American"
"IVH","Ivy High Income Opportunities Fund",12.06,"New York Stock Exchange"
"IYM","iShares U.S. Basic Materials",102.07,"NYSE Arca"
"KEMQ","KraneShares Emerging Markets Consumer Technology Index",29.0359,"NYSE Arca"
"KREF","KKR Real Estate Finance Trust Inc",18.45,"New York Stock Exchange"
"MAV","Pioneer Municipal High Income Advantage Trust",10.91,"New York Stock Exchange"
"MCN","Madison Covered Call & Equity Strategy Fund",5.93,"New York Stock Exchange"
"MLPX","Global X MLP & Energy Infrastructure",24.42,"NYSE Arca"
"MRCC","Monroe Capital Corp",7.15,"Nasdaq Global Select"
"MTNB","Matinas BioPharma Holdings Inc",0.7319,"NYSE American"
"MTSC","MTS Systems Corp",24.03,"Nasdaq Global Select"
"MUS","BlackRock MuniHoldings Quality Fund Inc",12.66,"New York Stock Exchange"
"MYN","BlackRock MuniYield New York Quality Fund Inc",13.12,"New York Stock Exchange"
"NEV","Nuveen Enhanced Municipal Value Fund",14.9,"New York Stock Exchange"
"NPK","National Presto Industries Inc",88.55,"New York Stock Exchange"
"PFO","Flaherty & Crumrine Preferred and Income Opportunity Fund Inc",12.18,"New York Stock Exchange"
"PGH","Pengrowth Energy Corporation",0.74,"New York Stock Exchange"
"PMX","PIMCO Municipal Income Fund III",11.3999,"New York Stock Exchange"
"POWL","Powell Industries Inc",27.02,"Nasdaq Global Select"
"PSCE","PowerShares S&P SmallCap Energy Portfolio",3.4525,"NASDAQ Global Market"
"PWOD","Penns Woods Bancorp Inc",21.42,"Nasdaq Global Select"
"PXQ","PowerShares Dynamic Networking",66.1,"NYSE Arca"
"RSLS","ReShape Lifesciences Inc",0.25,"NASDAQ Capital Market"
"SEED","Origin Agritech Ltd",7.94,"Nasdaq Global Select"
"SGDJ","ALPS ETF Trust Sprott Junior Gold Miners",47.0959,"NYSE Arca"
"SGF","Aberdeen Singapore Fund Inc.",13.59,"New York Stock Exchange"
"SHYD","VanEck Vectors Short High-Yield Municipal Index",24.325,"NYSE Arca"
"SNMX","Senomyx Inc.",1.5,"NASDAQ Global Market"
"SOJC","Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077",26.95,"New York Stock Exchange"
"STON","StoneMor Partners LP",0.7823,"New York Stock Exchange"
"SXE","Southcross Energy Partners L.P.",0.31,"New York Stock Exchange"
"TAT","TransAtlantic Petroleum Ltd",0.233,"NYSE American"
"TGLS","Tecnoglass Inc",5.32,"NASDAQ Capital Market"
"TITN","Titan Machinery Inc",13.64,"Nasdaq Global Select"
"TLYS","Tillys Inc",7.32,"New York Stock Exchange"
"UQM","UQM Technologies Inc",1.67,"NYSE American"
"VDE","Vanguard Energy",46.81,"NYSE Arca"
"VXZ","iPath S&P 500 VIX Mid-Term Futures ETN",34.07,"NYSE Arca"
"WRLSU","Pensare Acquisition Corp. Unit",3.73,"NASDAQ Capital Market"
"ZIONW","Zions Bancorporation Warrants 05/21/2020",0.0155,"Nasdaq Global Select"
"ZROZ","PIMCO 25 Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund",171.12,"NYSE Arca"
"ZX","China Zenix Auto International Limited American Depositary Shares each representing four.",1.39,"New York Stock Exchange"
"ZYNE","Zynerba Pharmaceuticals Inc",3.63,"NASDAQ Global Market"
"CTG","Computer Task Group Inc",4.87,"Nasdaq Global Select"
"PCYO","Pure Cycle Corp",9.61,"NASDAQ Capital Market"
"SNOA","Sonoma Pharmaceuticals Inc",6.69,"NASDAQ Capital Market"
"DXYN","Dixie Group Inc",0.9391,"NASDAQ Global Market"
"IJJ","iShares S&P Mid-Cap 400 Value",141.83,"NYSE Arca"
"CYRX","Cryoport Inc",53.26,"NASDAQ Capital Market"
"COKE","Coca-Cola Consolidated Inc",275.29,"Nasdaq Global Select"
"FDVV","Fidelity High Dividend",28.93,"NYSE Arca"
"GSL","Global Ship Lease Inc",5.47,"New York Stock Exchange"
"ELD","WisdomTree Emerging Markets Local Debt Fund",32.58,"NYSE Arca"
"DGP","DB Gold Double Long ETN due February 15 2038",47.4,"NYSE Arca"
"KCAP","KCAP Financial Inc.",3.78,"Nasdaq Global Select"
"TRC","Tejon Ranch Co",14.12,"New York Stock Exchange"
"KNDI","Kandi Technologies Group Inc",6.28,"Nasdaq Global Select"
"FTSL","First Trust Senior Loan Fund ETF",46.44,"NASDAQ Global Market"
"BRZU","Direxion Daily Brazil Bull 3X Shares",85.04,"NYSE Arca"
"PGJ","PowerShares Golden Dragon China Portfolio",53.21,"NASDAQ Global Market"
"SPTL","SPDR Portfolio Long Term Treasury",46.59,"NYSE Arca"
"FBNK","First Connecticut Bancorp Inc.",29.03,"Nasdaq Global Select"
"FNI","First Trust Chindia",47.77,"NYSE Arca"
"MOO","VanEck Vectors Agribusiness",67.73,"NYSE Arca"
"USDU","WisdomTree Bloomberg U.S. Dollar Bullish Fund",26.18,"NYSE Arca"
"WHLR","Wheeler Real Estate Investment Trust Inc",2.41,"NASDAQ Capital Market"
"NSPR","InspireMD Inc",0.341,"NYSE American"
"UWM","ProShares Ultra Russell2000",54.91,"NYSE Arca"
"DXR","Daxor Corp",15,"NYSE American"
"RDHL","Redhill Biopharma Ltd",7.44,"NASDAQ Capital Market"
"PFSW","PFSweb Inc",7.36,"NASDAQ Capital Market"
"ARKK","ARK Innovation",87.05,"NYSE Arca"
"MUJ","BlackRock Muniholdings New Jersy Quality Fund Inc",13.98,"New York Stock Exchange"
"HYEM","VanEck Vectors Emerging Markets High Yield Bond",23.19,"NYSE Arca"
"GRIF","Griffin Industrial Realty Inc",53.3,"NASDAQ Global Market"
"SLX","VanEck Vectors Steel",31.33,"NYSE Arca"
"CLAR","Clarus Corp",12.735,"Nasdaq Global Select"
"MNA","IQ Merger Arbitrage",32.08,"NYSE Arca"
"PLOW","Douglas Dynamics Inc",40.37,"New York Stock Exchange"
"TWIN","Twin Disc Inc",6.45,"Nasdaq Global Select"
"TNTR","Tintri Inc.",0.15,"NASDAQ Global Market"
"SYNL","Synalloy Corp",5.96,"NASDAQ Global Market"
"CCLP","CSI Compressco LP",1.05,"Nasdaq Global Select"
"RNP","Cohen & Steers Reit & Preferred & Income Fund Inc",19.78,"New York Stock Exchange"
"DMO","Western Asset Mortgage Opportunity Fund Inc",13.56,"New York Stock Exchange"
"KRMA","Global X Conscious Companies ETF",24.72,"NASDAQ Global Market"
"FNWB","First Northwest Bancorp",11.72,"NASDAQ Global Market"
"JTD","Nuveen Tax-Advantaged Dividend Growth Fund",13.37,"New York Stock Exchange"
"TRT","Trio-Tech International",3.53,"NYSE American"
"LFGR","Leaf Group Ltd.",11.1,"New York Stock Exchange"
"TSBK","Timberland Bancorp Inc",17.62,"NASDAQ Global Market"
"RFFC","RiverFront Dynamic US Flex-Cap",35.09,"NYSE Arca"
"SPHS","Sophiris Bio Inc",0.0107,"NASDAQ Capital Market"
"AFAM","Almost Family Inc",56.25,"Nasdaq Global Select"
"NGHCN","National General Holdings Corp Depositary Shares each representing 1/40th of a share of 7.50% Non-Cumulative Preferred Stock Series C",26.1,"NASDAQ Global Market"
"VPG","Vishay Precision Group Inc",24.78,"New York Stock Exchange"
"BGT","BlackRock Floating Rate Income Trust",11.44,"New York Stock Exchange"
"NHC","National Healthcare Corp",61.78,"NYSE American"
"PKB","PowerShares Dynamic Build & Construction",33.92,"NYSE Arca"
"REET","iShares Trust Global REIT",21.92,"NYSE Arca"
"EMCB","WisdomTree Emerging Markets Corporate Bond Fund",74.425,"NASDAQ Global Market"
"RYT","Guggenheim S&P 500 Equal Weight Technology",211.2,"NYSE Arca"
"INFI","Infinity Pharmaceuticals Inc",0.9958,"Nasdaq Global Select"
"MGU","Macquarie Global Infrastructure Total Return Fund Inc",18.14,"New York Stock Exchange"
"VSEC","VSE Corp",29.19,"Nasdaq Global Select"
"MGEE","MGE Energy Inc",64.42,"Nasdaq Global Select"
"MPCT","iShares MSCI Global Impact ETF",54.66,"NASDAQ Global Market"
"CVCO","Cavco Industries Inc",185.19,"Nasdaq Global Select"
"FGD","First Trust DJ Global Select Dividend",18.96,"NYSE Arca"
"CAPL","Crossamerica Partners LP",15.44,"New York Stock Exchange"
"VOX","Vanguard Telecom",105.69,"NYSE Arca"
"SP","SP Plus Corp",19.23,"Nasdaq Global Select"
"STBA","S&T Bancorp Inc",20.62,"Nasdaq Global Select"
"MSN","Emerson Radio Corp",0.66,"NYSE American"
"TBNK","Territorial Bancorp Inc",21.6,"Nasdaq Global Select"
"BFIN","BankFinancial Corp",7.54,"Nasdaq Global Select"
"NUEM","NuShares ESG Emerging Markets Equity",28.36,"BATS Exchange"
"PJP","PowerShares Dynamic Pharmaceuticals",64.82,"NYSE Arca"
"BSPM","Biostar Pharmaceuticals Inc",1.77,"NASDAQ Capital Market"
"DKL","Delek Logistics Partners LP",31.96,"New York Stock Exchange"
"SLY","SPDR S&P 600 Small Cap ETF (based on S&P SmallCap 600 Index -- symbol SML)",63.48,"NYSE Arca"
"SPFF","Global X SuperIncome Preferred",11.08,"NYSE Arca"
"ABAC","Renmin Tianli Group Inc.",1.42,"NASDAQ Capital Market"
"ACGLP","Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs",25.61,"Nasdaq Global Select"
"ACH","Aluminum Corporation of China Limited American Depositary Shares",6.1,"New York Stock Exchange"
"AKP","Alliance California Municipal Income Fund Inc",14.84,"New York Stock Exchange"
"ALG","Alamo Group Inc",112.22,"New York Stock Exchange"
"AMBR","Amber Road Inc.",13,"New York Stock Exchange"
"AMCN","AirMedia Group Inc",1.7,"Nasdaq Global Select"
"ANFI","Amira Nature Foods Ltd",0.3951,"New York Stock Exchange"
"ARKQ","ARK Industrial Innovation",57.65,"NYSE Arca"
"ARKR","Ark Restaurants Corp",9.95,"NASDAQ Global Market"
"ATOS","Atossa Therapeutics Inc",2.07,"NASDAQ Capital Market"
"AXU","Alexco Resource Corp",2.83,"NYSE American"
"BBH","VanEck Vectors Biotech ETF",154.83,"NASDAQ Global Market"
"BIOL","BIOLASE Inc",0.2744,"NASDAQ Capital Market"
"BLW","BlackRock Ltd Duration Income Trust",15.02,"New York Stock Exchange"
"BSCJ","Guggenheim BulletShares 2019 Corporate Bond",21.1,"NYSE Arca"
"BSCL","Guggenheim BulletShares 2021 Corporate Bond",21.36,"NYSE Arca"
"BSL","Blackstone / Gso Senior Floating Rate Term Fund",13.37,"New York Stock Exchange"
"BTT","Blackrock Municipal 2030 Target Term Trust",24.58,"New York Stock Exchange"
"CBTX","CBTX Inc",15.81,"Nasdaq Global Select"
"CET","Central Securities Corp",29.35,"NYSE American"
